name	group	protein (g)	calcium (g)	sodium (g)	fiber (g)	vitaminc (g)	potassium (g)	carbohydrate (g)	sugars (g)	fat (g)	water (g)	calories	saturated (g)	monounsat (g)	polyunsat (g)	id
Beverage, instant breakfast powder, chocolate, not reconstituted	Dairy and Egg Products	19.9	0.285	0.385	0.4	0.0769	0.947	66.2	65.8	1.4	7.4	357	0.56	0.314	0.278	27481
Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted	Dairy and Egg Products	35.8	0.5	0.717	2	0.138	1.705	41	39	5.1	7.4	358	2.162	1.189	1.027	27482
Beverage, milkshake mix, dry, not chocolate	Dairy and Egg Products	23.5	0.88	0.78	1.6	0.0012	2.2	52.9	51.3	2.6	12.8	329	2.059	0.332	0.06	27483
Cheese sauce, prepared from recipe	Dairy and Egg Products	10.33	0.311	0.493	0.1	0.0006	0.142	5.48	0.19	14.92	66.86	197	8.034	4.735	1.397	27496
Cheese, cottage, creamed, with fruit	Dairy and Egg Products	10.69	0.053	0.344	0.2	0.0014	0.09	4.61	2.38	3.85	79.64	97	2.311	1.036	0.124	27512
Cheese, cottage, lowfat, 1% milkfat, lactose reduced	Dairy and Egg Products	12.4	0.053	0.22	0.6	0	0.086	3.2	2.6	1	82.5	74	0.64	0.29	0.03	27514
Cheese, cottage, with vegetables	Dairy and Egg Products	10.9	0.056	0.403	0.1	0.004	0.086	3	0.37	4.2	80.3	95	2.646	1.189	0.14	27519
Cheese, pasteurized process, pimento	Dairy and Egg Products	22.13	0.614	1.428	0.1	0.0023	0.162	1.73	0.62	31.2	39.08	375	19.663	8.937	0.988	27561
Cream substitute, flavored, liquid	Dairy and Egg Products	0.69	0.006	0.08	1.1	0	0.096	35.07	33.04	13.5	50.06	251	2.635	4.002	6.269	27577
Cream substitute, flavored, powdered	Dairy and Egg Products	0.68	0.005	0.196	1.2	0	0.09	75.42	58.01	21.47	1.52	498	19.463	0.618	0.229	27578
Milk shakes, thick chocolate	Dairy and Egg Products	3.05	0.132	0.111	0.3	0	0.224	21.15	20.85	2.7	72.2	119	1.681	0.78	0.1	27638
Milk, chocolate beverage, hot cocoa, homemade	Dairy and Egg Products	3.52	0.114	0.044	1	0.0002	0.197	10.74	9.66	2.34	82.45	77	1.431	0.677	0.084	27649
